City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,16.51,37,89,2.6,RU,1691628469
1,lianhe,47.1333,129.2667,20.89,95,100,1.16,CN,1691628827
2,adamstown,-25.066,-130.1015,19.26,60,100,9.46,PN,1691628462
3,edinburgh of the seven seas,-37.0676,-12.3116,10.57,58,52,10.93,SH,1691628653
4,margaret river,-33.95,115.0667,10.55,86,100,2.07,AU,1691628459
5,semera,11.501,41.201,25.94,55,100,1.39,ET,1691628723
6,vila velha,-20.3297,-40.2925,22.97,87,75,3.6,BR,1691628827
7,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,52,20,2.0,RU,1691628695
8,enewetak,11.3474,162.3373,28.71,75,78,6.49,MH,1691628650
9,iqaluit,63.7506,-68.5145,5.85,93,100,4.12,CA,1691628462
10,utrik,11.2278,169.8474,28.28,71,35,5.23,MH,1691628649
11,yellowknife,62.456,-114.3525,22.29,40,75,6.71,CA,1691628648
12,turpan,42.9333,89.1667,33.87,23,4,0.18,CN,1691628828
13,blackmans bay,-43.0167,147.3167,14.07,67,97,2.72,AU,1691628648
14,whitehorse,60.7161,-135.0538,21.72,40,75,1.54,CA,1691628535
15,ribeira grande,38.5167,-28.7,20.99,87,100,1.34,PT,1691628664
16,afaahiti,-17.75,-149.2833,27.93,72,100,6.37,PF,1691628677
17,peace river,56.2501,-117.286,17.17,94,100,2.06,CA,1691628748
18,vorgashor,67.5833,63.95,10.32,74,95,3.95,RU,1691628708
19,grytviken,-54.2811,-36.5092,-5.04,96,93,1.44,GS,1691628462
20,port-aux-francais,-49.35,70.2167,3.17,80,100,11.58,TF,1691628645
21,west island,-12.1568,96.8225,24.99,83,100,6.17,CC,1691628645
22,new norfolk,-42.7826,147.0587,14.72,79,100,2.32,AU,1691628374
23,puerto ayora,-0.7393,-90.3518,24.75,91,37,3.13,EC,1691628646
24,seydi,39.4816,62.9137,27.58,31,0,3.63,TM,1691628830
25,hawaiian paradise park,19.5933,-154.9731,28.74,73,75,4.63,US,1691628689
26,puerto colombia,10.9878,-74.9547,24.05,84,100,6.8,CO,1691628830
27,atafu village,-8.5421,-172.5159,28.16,78,35,6.53,TK,1691628661
28,katsuura,35.1333,140.3,27.2,82,100,4.72,JP,1691628418
29,polyarnyy,69.1989,33.4478,16.98,78,0,3.21,RU,1691628831
30,invercargill,-46.4,168.35,7.79,75,28,0.89,NZ,1691628660
31,turochak,52.2576,87.1224,16.67,75,7,1.07,RU,1691628831
32,papatowai,-46.5619,169.4708,5.42,76,34,3.47,NZ,1691628648
33,debre birhan,9.6833,39.5333,10.03,81,100,0.71,ET,1691628831
34,laguna,38.421,-121.4238,33.9,37,0,4.63,US,1691628714
35,diapaga,12.0708,1.7889,22.93,95,100,4.16,BF,1691628832
36,ancud,-41.8697,-73.8203,9.74,85,100,6.87,CL,1691628480
37,loppi,60.7167,24.45,12.11,97,6,2.04,FI,1691628832
38,ola,59.5833,151.2833,18.97,53,2,0.91,RU,1691628698
39,georgetown,5.4112,100.3354,27.19,90,40,1.03,MY,1691628591
40,crucecita,-28.95,-58.9833,15.61,90,3,2.5,AR,1691628832
41,nar'yan-mar,67.6713,53.087,10.52,87,0,2.53,RU,1691628656
42,uturoa,-16.7333,-151.4333,24.97,70,98,7.84,PF,1691628738
43,talnakh,69.4865,88.3972,13.45,61,100,2.43,RU,1691628674
44,waitangi,-43.9535,-176.5597,11.01,75,10,2.68,NZ,1691628646
45,carnarvon,-24.8667,113.6333,21.62,58,0,0.69,AU,1691628473
46,charters towers,-20.1,146.2667,22.09,46,5,4.82,AU,1691628833
47,lecheng,25.1238,113.3254,29.14,82,100,0.39,CN,1691628833
48,saint-philippe,-21.3585,55.7679,19.77,83,38,4.01,RE,1691628731
49,kudahuvadhoo,2.6708,72.8944,27.16,79,100,5.03,MV,1691628833
50,wailua homesteads,22.0669,-159.378,32.24,72,40,9.26,US,1691628653
51,keflavik,64.0049,-22.5624,11.95,76,0,3.6,IS,1691628658
52,mount gambier,-37.8333,140.7667,11.6,72,99,3.71,AU,1691628657
53,tiksi,71.6872,128.8694,20.62,40,40,3.47,RU,1691628834
54,behshahr,36.6923,53.5526,26.95,42,0,1.84,IR,1691628834
55,batamshinskiy,50.5594,58.2747,16.28,76,0,8.14,KZ,1691628834
56,quepos,9.4236,-84.1652,27.02,87,100,1.51,CR,1691628834
57,alice springs,-23.7,133.8833,21.75,24,0,2.57,AU,1691628508
58,tazacorte,28.629,-17.9293,23.54,94,0,5.14,ES,1691628654
